[rosmaster.main][INFO] 2022-03-09 22:28:11,645: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-03-09 22:28:11,646: Starting ROS Master Node
[xmlrpc][INFO] 2022-03-09 22:28:11,647: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-03-09 22:28:11,647: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2022-03-09 22:28:11,647: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-03-09 22:28:11,648: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-03-09 22:28:11,713: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,715: +PARAM [/roslaunch/uris/host_ubuntu__35093] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,781: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/pitch_platform_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/pitch_platform_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/cmd_vel_mux/yaml_cfg_file] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/yaw_platform_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/yaw_platform_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/pitch_platform_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/pitch_platform_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/yaw_platform_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/yaw_platform_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,782: +PARAM [/xbot/yaw_platform_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,783: +PARAM [/xbot/pitch_platform_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2022-03-09 22:28:11,925: +PUB [/rosout] /cmd_vel_mux http://ubuntu:33937/
[rosmaster.master][INFO] 2022-03-09 22:28:11,927: +SERVICE [/cmd_vel_mux/get_loggers] /cmd_vel_mux http://ubuntu:33937/
[rosmaster.master][INFO] 2022-03-09 22:28:11,928: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33211/
[rosmaster.master][INFO] 2022-03-09 22:28:11,929: +SERVICE [/cmd_vel_mux/set_logger_level] /cmd_vel_mux http://ubuntu:33937/
[rosmaster.master][INFO] 2022-03-09 22:28:11,931: +PUB [/rosout] /xbot/robot_state_publisher http://ubuntu:38273/
[rosmaster.master][INFO] 2022-03-09 22:28:11,932: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33211/
[rosmaster.master][INFO] 2022-03-09 22:28:11,933: +SERVICE [/xbot/robot_state_publisher/get_loggers] /xbot/robot_state_publisher http://ubuntu:38273/
[rosmaster.master][INFO] 2022-03-09 22:28:11,938: +SERVICE [/xbot/robot_state_publisher/set_logger_level] /xbot/robot_state_publisher http://ubuntu:38273/
[rosmaster.master][INFO] 2022-03-09 22:28:11,955: +SUB [/clock] /rosout http://ubuntu:33211/
[rosmaster.master][INFO] 2022-03-09 22:28:11,957: +SUB [/clock] /cmd_vel_mux http://ubuntu:33937/
[rosmaster.master][INFO] 2022-03-09 22:28:11,958: +PUB [/rosout_agg] /rosout http://ubuntu:33211/
[rosmaster.master][INFO] 2022-03-09 22:28:11,960: +PUB [/rosout] /mobile_base_nodelet_manager http://ubuntu:42535/
[rosmaster.master][INFO] 2022-03-09 22:28:11,963: +PARAM [/cmd_vel_mux] by /cmd_vel_mux
[rosmaster.master][INFO] 2022-03-09 22:28:11,965: +SERVICE [/mobile_base_nodelet_manager/get_loggers] /mobile_base_nodelet_manager http://ubuntu:42535/
[rosmaster.master][INFO] 2022-03-09 22:28:11,968: +SUB [/clock] /xbot/robot_state_publisher http://ubuntu:38273/
