[rosmaster.main][INFO] 2022-06-01 09:00:59,911: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-06-01 09:00:59,911: Starting ROS Master Node
[xmlrpc][INFO] 2022-06-01 09:00:59,913: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-06-01 09:00:59,914: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-06-01 09:00:59,915: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-06-01 09:00:59,915: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-06-01 09:00:59,926: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-06-01 09:00:59,928: +PARAM [/roslaunch/uris/host_ubuntu__33971] by /roslaunch
[rosmaster.master][INFO] 2022-06-01 09:01:00,108: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-06-01 09:01:00,109: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-06-01 09:01:00,223: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45323/
[rosmaster.master][INFO] 2022-06-01 09:01:00,224: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45323/
[rosmaster.master][INFO] 2022-06-01 09:01:00,228: +PUB [/rosout_agg] /rosout http://ubuntu:45323/
[rosmaster.master][INFO] 2022-06-01 09:01:00,236: +SUB [/rosout] /rosout http://ubuntu:45323/
[rosmaster.master][INFO] 2022-06-01 09:01:04,857: +PUB [/rosout] /world http://ubuntu:43819/
[rosmaster.master][INFO] 2022-06-01 09:01:04,859: +SERVICE [/world/get_loggers] /world http://ubuntu:43819/
[rosmaster.master][INFO] 2022-06-01 09:01:04,861: +SERVICE [/world/set_logger_level] /world http://ubuntu:43819/
[rosmaster.master][INFO] 2022-06-01 09:01:04,865: +PUB [/chatter] /world http://ubuntu:43819/
[rosmaster.master][INFO] 2022-06-01 09:01:04,935: publisherUpdate[/rosout] -> http://ubuntu:45323/ ['http://ubuntu:43819/']
[rosmaster.master][INFO] 2022-06-01 09:01:04,938: publisherUpdate[/rosout] -> http://ubuntu:45323/ ['http://ubuntu:43819/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-06-01 09:34:07,756: +PUB [/rosout] /gazebo http://ubuntu:32947/
[rosmaster.master][INFO] 2022-06-01 09:34:07,758: publisherUpdate[/rosout] -> http://ubuntu:45323/ ['http://ubuntu:43819/', 'http://ubuntu:32947/']
